,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,4.983152437210083,0.29019905514172584,0.022487878799438477,0.006016004846621711,0.01,l1,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 0.01, 'penalty': 'l1', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.7659520989946862,0.7785666734786265,0.7610499091167084,0.7645492251249638,0.76777515267686,0.767578611878369,0.005919844829539577,3
1,2.5327501773834227,0.16426814406152548,0.022867155075073243,0.0027053214673994903,0.01,l2,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 0.01, 'penalty': 'l2', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.7654394782524396,0.7786335462113503,0.7615848154710978,0.7642371679373747,0.7678420184549548,0.7675474052654435,0.005898183152800051,7
2,5.723090505599975,0.11298680281031406,0.022289419174194337,0.00797737682083595,0.1,l1,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 0.1, 'penalty': 'l1', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.7655286286491589,0.7785666754656634,0.7614733744946434,0.7644154806530346,0.7679980386038425,0.7675964395732684,0.0058718587337113,1
3,3.1418055057525636,0.2823033992027982,0.02299332618713379,0.0028178494394883588,0.1,l2,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 0.1, 'penalty': 'l2', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.7653949020605616,0.7788564261772224,0.761473373501125,0.7642817471098082,0.7679311728257479,0.7675875243348931,0.006003746146118623,2
4,5.635509204864502,0.11225002542505587,0.01921052932739258,0.0015500902205009095,1,l1,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 1, 'penalty': 'l1', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.7653503248751651,0.7788564261772224,0.7614510859019451,0.7642371719114486,0.767864307047653,0.7675518631826869,0.00601571605444441,6
5,3.0200984477996826,0.17226142866071686,0.021773099899291992,0.0024805355831175606,1,l2,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 1, 'penalty': 'l2', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.7654171916467785,0.7788118509788626,0.7614510859019451,0.7640811557366345,0.7678420184549548,0.7675206605438352,0.00601146842959707,10
6,5.622790193557739,0.21203943294292382,0.0203460693359375,0.0053000272260634255,10,l1,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 10, 'penalty': 'l1', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.7654171906532599,0.7788564261772224,0.7614510859019451,0.7642148843122688,0.767864307047653,0.7675607788184698,0.006013353580858051,4
7,2.85703125,0.13054313123384478,0.020744752883911134,0.003419924012719193,10,l2,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 10, 'penalty': 'l2', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.7654171906532599,0.7788341385780425,0.7614510859019451,0.7640811557366345,0.7678643070476531,0.767529575583507,0.006020082989348319,9
8,5.11429648399353,0.27460037734949866,0.015763092041015624,0.0034715362179736473,100,l1,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 100, 'penalty': 'l1', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.7653949030540801,0.7788564261772224,0.7614510859019451,0.7642148843122688,0.767864307047653,0.7675563212986338,0.0060149489557172284,5
9,2.253048801422119,0.7443483979641715,0.014264726638793945,0.00473781767372816,100,l2,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 100, 'penalty': 'l2', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.7654171906532599,0.7788341385780425,0.7614510859019451,0.7640811557366345,0.7678865956403513,0.7675340333020466,0.006020337445772153,8
