,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,5.900056028366089,0.5291911904584546,0.020549440383911134,0.0034720107840798637,0.01,l1,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 0.01, 'penalty': 'l1', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.7501726557215952,0.7666534427454352,0.7741949890581038,0.7620695815282926,0.7676968424813541,0.7641575023069562,0.00799303615675625,10
1,2.4714426040649413,0.07797598910802286,0.020479965209960937,0.002306413070350395,0.01,l2,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 0.01, 'penalty': 'l2', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.749391123612306,0.767055365025142,0.7743289714617481,0.7624715287392255,0.7682327720959314,0.7642959521868706,0.0083577128657538,9
2,6.537747526168824,0.3106354053315076,0.019752311706542968,0.0012834287888231156,0.1,l1,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 0.1, 'penalty': 'l1', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.7494134520184154,0.7674126574183545,0.7741726586574963,0.7625385199410477,0.7683444240989683,0.7643763424268564,0.008345038926682202,8
3,2.927190923690796,0.15934311073510216,0.020145702362060546,0.0011632273581502932,0.1,l2,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 0.1, 'penalty': 'l2', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.7494804472092337,0.7675466308467574,0.7743066410611408,0.7625161895404402,0.7684114153007906,0.7644522647916725,0.008369736134397905,1
4,6.4272047996521,0.14260545979977798,0.019753122329711915,0.0014705750465720572,1,l1,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 1, 'penalty': 'l1', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.7494134580019095,0.7675466308467574,0.7743066410611408,0.7623822071367959,0.7684337457013979,0.7644165365496003,0.008402148403778118,6
5,2.7723177433013917,0.20031823697448922,0.019946765899658204,0.0010927539774555543,1,l2,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 1, 'penalty': 'l2', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.7493464737808307,0.7675912886562251,0.7742619802599259,0.7623822071367962,0.7684784065026126,0.7644120712672781,0.008423251018788587,7
6,6.473377895355225,0.16705727842409815,0.018700790405273438,0.0013205637318065835,10,l1,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 10, 'penalty': 'l1', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.749435790397015,0.7675689602501158,0.7742619802599259,0.7623598767361887,0.7684560761020053,0.7644165367490501,0.008388575823255175,5
7,2.719425392150879,0.27222303778435986,0.020785045623779298,0.0013519823691895657,10,l2,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 10, 'penalty': 'l2', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.7493464737808307,0.7676136200540815,0.7742843106605333,0.7624045375374034,0.7684784065026126,0.7644254697070924,0.008429088079115443,2
8,6.123130464553833,0.40044825985971777,0.013386249542236328,0.003678752851911588,100,l1,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 100, 'penalty': 'l1', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.749435790397015,0.7675912906507232,0.7742619802599259,0.7623598767361887,0.7684560761020053,0.7644210028291716,0.008390258761078411,4
9,2.557130527496338,0.4930197251203612,0.01556391716003418,0.003244270242077743,100,l2,<mtrand.RandomState object at 0x0000027DAD3ABE58>,liblinear,"{'C': 100, 'penalty': 'l2', 'random_state': <mtrand.RandomState object at 0x0000027DAD3ABE58>, 'solver': 'liblinear'}",0.7493464737808307,0.7676136200540815,0.7742843106605333,0.7624045375374034,0.7684784065026126,0.7644254697070924,0.008429088079115443,2
