,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2687688827514648,0.058092088095830816,0.005968904495239258,0.0006813970222687998,0.01,l1,RandomState(MT19937),liblinear,"{'C': 0.01, 'penalty': 'l1', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.5456672654811545,0.7138407144682184,0.7488775520955434,0.7138468387072983,0.6148820326678767,0.6674228806840182,0.07553758430107167,1
1,0.27662177085876466,0.02494274856273432,0.005840682983398437,0.0003246000650284742,0.01,l2,RandomState(MT19937),liblinear,"{'C': 0.01, 'penalty': 'l2', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.5536488611549393,0.7161997977025542,0.7419820540039352,0.7147536870553342,0.6099818511796734,0.6673132502192872,0.07269443236984498,2
2,0.4785436153411865,0.03804835374541551,0.002611207962036133,0.00012177560293419642,0.1,l1,RandomState(MT19937),liblinear,"{'C': 0.1, 'penalty': 'l1', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.550745774275035,0.7191026870263592,0.7428895608723023,0.7162059877936671,0.6038112522686025,0.6665510524471931,0.07536842807005538,3
3,0.2789936065673828,0.06633951135735855,0.004099512100219726,0.0011345747008171749,0.1,l2,RandomState(MT19937),liblinear,"{'C': 0.1, 'penalty': 'l2', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.5512899096246697,0.7171068436066895,0.7436152502772371,0.7160245654424335,0.6023593466424682,0.6660791831186996,0.07529541809512663,9
4,0.44344167709350585,0.04951500637665211,0.0026400089263916016,0.0003257516806725319,1,l1,RandomState(MT19937),liblinear,"{'C': 1, 'penalty': 'l1', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.5514715953840359,0.7174697541611899,0.7443408738301387,0.716569095904267,0.6023593466424683,0.66644213318442,0.07551102221708518,4
5,0.1874781608581543,0.04352757817887141,0.0032822132110595704,0.0001526178092235397,1,l2,RandomState(MT19937),liblinear,"{'C': 1, 'penalty': 'l2', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.5516530835873027,0.7167439330521892,0.7432520763146041,0.7165691617563,0.6019963702359347,0.6660429249892661,0.07519540259956288,10
6,0.3318490505218506,0.013256350244566189,0.0028103351593017577,0.0002489351025041707,10,l1,RandomState(MT19937),liblinear,"{'C': 10, 'penalty': 'l1', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.5516530835873027,0.7169253554034227,0.7432520763146041,0.7167506499595668,0.6019963702359347,0.6661155071001661,0.0752442938644756,8
7,0.2040693759918213,0.03397383242850734,0.003319978713989258,0.0004126637036671244,10,l2,RandomState(MT19937),liblinear,"{'C': 10, 'penalty': 'l2', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.5516530835873027,0.7167439330521892,0.7434335645178709,0.7167506499595668,0.6021778584392015,0.6661518179112262,0.07522619215402966,6
8,0.3827505111694336,0.06093046262037931,0.002603626251220703,0.00030997931207629574,100,l1,RandomState(MT19937),liblinear,"{'C': 100, 'penalty': 'l1', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.5516530835873027,0.7167439330521892,0.7434335645178709,0.7167506499595668,0.6019963702359347,0.6661155202705729,0.07525708912557033,7
9,0.28653531074523925,0.015305532530103022,0.004122543334960938,0.000925290967215214,100,l2,RandomState(MT19937),liblinear,"{'C': 100, 'penalty': 'l2', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.5516530835873027,0.7167439330521892,0.7434335645178709,0.7167506499595668,0.6023593466424683,0.6661881155518796,0.07519535257238764,5
