,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.47939453125,0.02646794475272835,0.0064070701599121095,0.000654456687534049,0,0.001,2,0.1,10,2,"{'gamma': 0, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 0.1, 'n_estimators': 10, 'random_state': 2}",0.3194189084893807,0.6919175848635151,0.6802857451420955,0.6807885912669668,0.2736842105263158,0.5292190080576548,0.19056727894918196,521
1,0.728021240234375,0.07148204534592972,0.008800506591796875,0.0011417250448388426,0,0.001,2,0.1,50,2,"{'gamma': 0, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 0.1, 'n_estimators': 50, 'random_state': 2}",0.3194189084893807,0.6919175848635151,0.6802857451420955,0.6807885912669668,0.28729582577132484,0.5319413311066566,0.18696051839611666,501
2,1.29242000579834,0.04994447311562352,0.008119869232177734,0.0008181295574761023,0,0.001,2,0.1,100,2,"{'gamma': 0, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 0.1, 'n_estimators': 100, 'random_state': 2}",0.2765878900745182,0.7093154944565758,0.721644509652591,0.6807885912669668,0.3257713248638838,0.5428215620629071,0.19835521209413054,461
3,0.16860604286193848,0.0036321066518473838,0.004025554656982422,0.00017809217382397198,0,0.001,2,0.2,10,2,"{'gamma': 0, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 0.2, 'n_estimators': 10, 'random_state': 2}",0.3194189084893807,0.6919175848635151,0.6802857451420955,0.6807885912669668,0.2736842105263158,0.5292190080576548,0.19056727894918196,521
4,0.6710914611816406,0.014528571164692689,0.006534099578857422,0.0006496674857261291,0,0.001,2,0.2,50,2,"{'gamma': 0, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 0.2, 'n_estimators': 50, 'random_state': 2}",0.3194189084893807,0.6919175848635151,0.6802857451420955,0.6807885912669668,0.28729582577132484,0.5319413311066566,0.18696051839611666,501
5,1.2937482833862304,0.022249398901500666,0.009011173248291015,0.0008731951953476153,0,0.001,2,0.2,100,2,"{'gamma': 0, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 0.2, 'n_estimators': 100, 'random_state': 2}",0.2765878900745182,0.7093154944565758,0.721644509652591,0.6807885912669668,0.3257713248638838,0.5428215620629071,0.19835521209413054,461
6,0.18145055770874025,0.017413698273281427,0.005380105972290039,0.0025997962794137327,0,0.001,2,0.5,10,2,"{'gamma': 0, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 0.5, 'n_estimators': 10, 'random_state': 2}",0.3194189084893807,0.6919175848635151,0.6802857451420955,0.6807885912669668,0.2736842105263158,0.5292190080576548,0.19056727894918196,521
7,0.6852850914001465,0.02588332647813174,0.005863618850708008,0.0005840323704777672,0,0.001,2,0.5,50,2,"{'gamma': 0, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 0.5, 'n_estimators': 50, 'random_state': 2}",0.3194189084893807,0.6919175848635151,0.6802857451420955,0.6807885912669668,0.28729582577132484,0.5319413311066566,0.18696051839611666,501
8,1.3052534580230712,0.04005529410605717,0.009110736846923827,0.0007284423787797924,0,0.001,2,0.5,100,2,"{'gamma': 0, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 0.5, 'n_estimators': 100, 'random_state': 2}",0.2765878900745182,0.7093154944565758,0.721644509652591,0.6807885912669668,0.3257713248638838,0.5428215620629071,0.19835521209413054,461
9,0.17279014587402344,0.004546262729745447,0.004067897796630859,0.0001669899114192576,0,0.001,2,1,10,2,"{'gamma': 0, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 10, 'random_state': 2}",0.3194189084893807,0.6919175848635151,0.6802857451420955,0.6807885912669668,0.2736842105263158,0.5292190080576548,0.19056727894918196,521
10,0.6778707027435302,0.025786542459294775,0.0058666706085205075,0.00047257681684962364,0,0.001,2,1,50,2,"{'gamma': 0, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 50, 'random_state': 2}",0.3194189084893807,0.6919175848635151,0.6802857451420955,0.6807885912669668,0.28729582577132484,0.5319413311066566,0.18696051839611666,501
11,1.2914156436920166,0.031770933608403155,0.008603382110595702,0.0005046268857046481,0,0.001,2,1,100,2,"{'gamma': 0, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 100, 'random_state': 2}",0.2765878900745182,0.7093154944565758,0.721644509652591,0.6807885912669668,0.3257713248638838,0.5428215620629071,0.19835521209413054,461
12,0.17119212150573732,0.0028282209181642553,0.004072046279907227,0.00014299873345499309,0,0.001,2,5,10,2,"{'gamma': 0, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 10, 'random_state': 2}",0.3194189084893807,0.6919175848635151,0.6802857451420955,0.6807885912669668,0.2736842105263158,0.5292190080576548,0.19056727894918196,521
13,0.6801665782928467,0.01474873683957793,0.006058692932128906,0.0005051823136884429,0,0.001,2,5,50,2,"{'gamma': 0, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 50, 'random_state': 2}",0.3194189084893807,0.6919175848635151,0.6802857451420955,0.6807885912669668,0.28729582577132484,0.5319413311066566,0.18696051839611666,501
