,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.17348146438598633,0.04333382046395716,0.0027853012084960937,0.00024407829293624064,0.01,l1,RandomState(MT19937),liblinear,"{'C': 0.01, 'penalty': 'l1', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.5933022922636104,0.7187833334531071,0.7442156994596836,0.6892301313370135,0.5924875957205878,0.6676038104468004,0.06343435061170447,10
1,0.158295202255249,0.017985271597908487,0.003078603744506836,0.00027080449138964,0.01,l2,RandomState(MT19937),liblinear,"{'C': 0.01, 'penalty': 'l2', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.6099570200573066,0.7157400758064962,0.7404548261450282,0.6972902822108311,0.5989366403883132,0.672475768921595,0.057315460263335415,9
2,0.300815486907959,0.016802400051169387,0.002552032470703125,0.00024281772933236332,0.1,l1,RandomState(MT19937),liblinear,"{'C': 0.1, 'penalty': 'l1', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.6190902578796561,0.7118005685487224,0.7356192617695643,0.7019479184525784,0.5983995194336278,0.6733715052168299,0.05428708863549684,8
3,0.2397373676300049,0.06127891784624424,0.004675579071044922,0.0030612204199575517,0.1,l2,RandomState(MT19937),liblinear,"{'C': 0.1, 'penalty': 'l2', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.620881088825215,0.7103676471343112,0.7357983448641202,0.7028435905833219,0.5971456811137723,0.6734072705041482,0.054221844893646357,7
4,0.4881786823272705,0.044389642406989734,0.004898548126220703,0.0020720182483729603,1,l1,RandomState(MT19937),liblinear,"{'C': 1, 'penalty': 'l1', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.6217765042979944,0.7118009535356689,0.7352610314159613,0.7037392627140655,0.5971457452782635,0.6739446994483906,0.05422195954877567,6
5,0.31545534133911135,0.04357693128283801,0.00623478889465332,0.00219321547467711,1,l2,RandomState(MT19937),liblinear,"{'C': 1, 'penalty': 'l2', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.622134670487106,0.7118010177001599,0.7350819483214056,0.7037393268785567,0.5971458094427544,0.6739805545659966,0.054112708367189094,5
6,0.4922638416290283,0.05253869957891432,0.004339170455932617,0.0015245789295112628,10,l1,RandomState(MT19937),liblinear,"{'C': 10, 'penalty': 'l1', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.622313753581662,0.711621934605604,0.7350818841569144,0.7042767044912064,0.5971457452782635,0.6740880044227301,0.05411301356279008,4
7,0.3326603889465332,0.03348904999164769,0.006960725784301758,0.0025593399470424786,10,l2,RandomState(MT19937),liblinear,"{'C': 10, 'penalty': 'l2', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.622313753581662,0.711621934605604,0.7350818841569144,0.7046349990093003,0.5973248283728193,0.67419547994526,0.054102252542304864,2
8,0.4951616764068604,0.02696038692908839,0.0038234233856201173,0.0013428512650254512,100,l1,RandomState(MT19937),liblinear,"{'C': 100, 'penalty': 'l1', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.622313753581662,0.711621934605604,0.7350818841569144,0.7046349990093003,0.5973248283728193,0.67419547994526,0.054102252542304864,2
9,0.20803651809692383,0.015863699054996228,0.007021141052246094,0.001874354036798584,100,l2,RandomState(MT19937),liblinear,"{'C': 100, 'penalty': 'l2', 'random_state': RandomState(MT19937) at 0x7F246A59E468, 'solver': 'liblinear'}",0.622313753581662,0.7118010177001599,0.7350818841569144,0.704814146268347,0.5973248283728193,0.6742671260159805,0.05414724065528421,1
