,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.20465335845947266,0.07327314305933603,0.0029921531677246094,8.920806376395086e-07,0.01,l1,<mtrand.RandomState object at 0x000002094954C948>,liblinear,"{'C': 0.01, 'penalty': 'l1', 'random_state': <mtrand.RandomState object at 0x000002094954C948>, 'solver': 'liblinear'}",0.5478443336959585,0.705492652230145,0.7496027805362463,0.6969725186295401,0.6108892921960073,0.6621603154575795,0.0727084962178461,10
1,0.28563661575317384,0.03139084377735335,0.003191566467285156,0.000398707856745607,0.01,l2,<mtrand.RandomState object at 0x000002094954C948>,liblinear,"{'C': 0.01, 'penalty': 'l2', 'random_state': <mtrand.RandomState object at 0x000002094954C948>, 'solver': 'liblinear'}",0.5534680973240368,0.7060374461001109,0.7450653778984773,0.698243133608507,0.6099818511796733,0.6625591812221611,0.07019432553299934,9
2,0.5048514842987061,0.020138759458011548,0.0031919956207275392,0.0003992090371015811,0.1,l1,<mtrand.RandomState object at 0x000002094954C948>,liblinear,"{'C': 0.1, 'penalty': 'l1', 'random_state': <mtrand.RandomState object at 0x000002094954C948>, 'solver': 'liblinear'}",0.5538312054346366,0.7087589130726824,0.7437955531439078,0.6995139461435732,0.6096188747731397,0.6631036985135881,0.0703169741482535,6
3,0.2842403888702393,0.010628831091187205,0.003390979766845703,0.000488558319018712,0.1,l2,<mtrand.RandomState object at 0x000002094954C948>,liblinear,"{'C': 0.1, 'penalty': 'l2', 'random_state': <mtrand.RandomState object at 0x000002094954C948>, 'solver': 'liblinear'}",0.5536494538232373,0.709122021183282,0.743614130792674,0.6995139461435732,0.6088929219600726,0.6629584947805679,0.07049007932216297,8
4,0.5822433948516845,0.08720953405952374,0.002991056442260742,7.168434323488669e-07,1,l1,<mtrand.RandomState object at 0x000002094954C948>,liblinear,"{'C': 1, 'penalty': 'l1', 'random_state': <mtrand.RandomState object at 0x000002094954C948>, 'solver': 'liblinear'}",0.5540122985257047,0.7087590447767484,0.7434327084414404,0.7000584107533736,0.6090744101633394,0.6630673745321213,0.07031771069782627,7
5,0.29760451316833497,0.03806003670669545,0.0035904407501220702,0.0007984520477606949,1,l2,<mtrand.RandomState object at 0x000002094954C948>,liblinear,"{'C': 1, 'penalty': 'l2', 'random_state': <mtrand.RandomState object at 0x000002094954C948>, 'solver': 'liblinear'}",0.5541937867289715,0.7087590447767484,0.7432512860902067,0.7002398989566404,0.6092558983666061,0.6631399829838347,0.07021124084204149,5
6,0.608970832824707,0.05895865554399846,0.0031925201416015624,0.00039870777120414003,10,l1,<mtrand.RandomState object at 0x000002094954C948>,liblinear,"{'C': 10, 'penalty': 'l1', 'random_state': <mtrand.RandomState object at 0x000002094954C948>, 'solver': 'liblinear'}",0.554375143228172,0.7089404671279821,0.7430697978869398,0.7006028095111408,0.6092558983666061,0.6632488232241681,0.0701757062534037,4
7,0.2904226303100586,0.030391109811715007,0.003391599655151367,0.0004884415182825454,10,l2,<mtrand.RandomState object at 0x000002094954C948>,liblinear,"{'C': 10, 'penalty': 'l2', 'random_state': <mtrand.RandomState object at 0x000002094954C948>, 'solver': 'liblinear'}",0.5545566314314389,0.7091218894792157,0.7430697978869398,0.7009657200656414,0.6090744101633393,0.6633576898053151,0.07020981532326583,2
8,0.4470097541809082,0.1466375863988043,0.0021943092346191407,0.0007460598443971331,100,l1,<mtrand.RandomState object at 0x000002094954C948>,liblinear,"{'C': 100, 'penalty': 'l1', 'random_state': <mtrand.RandomState object at 0x000002094954C948>, 'solver': 'liblinear'}",0.5545566314314389,0.7089404671279821,0.7430697978869398,0.7007842977144076,0.6092558983666061,0.6633214185054749,0.07013876004744117,3
9,0.2084423065185547,0.06789635514652664,0.0021947383880615234,0.00039906531682722867,100,l2,<mtrand.RandomState object at 0x000002094954C948>,liblinear,"{'C': 100, 'penalty': 'l2', 'random_state': <mtrand.RandomState object at 0x000002094954C948>, 'solver': 'liblinear'}",0.5545566314314389,0.7091218894792157,0.7430697978869398,0.7009657200656414,0.6092558983666061,0.6633939874459684,0.070181783447317,1
